course_id;codigo;turma;descricao;horario;professor
"1";"CAD5000";"09301";"Programa de Intercâmbio I";"";"Professor Não Informado"
"1";"CAD5001";"09301";"Programa de Intercâmbio II";"";"Professor Não Informado"
"1";"CAD7001";"01301";"Introdução a Administração";"2.0820-2 / CSE-CSE012
4.0820-2 / CSE-CSE012";"Marcia Barros de Sales"
"1";"CAD7002";"02301";"Teorias da Administração";"3.0820-2 / CSE-CSE011
5.0820-2 / CSE-CSE011";"Raphael Schlickmann"
"1";"CAD7003";"03301";"Administração da Comunicação";"5.1010-2 / CSE-CSE001";"Marco Antonio de Moraes Ocke"
"1";"CAD7004";"04301";"Cultura Empreendedora e Criatividade";"2.0820-2 / CSE-CSE009
4.0820-2 / CSE-CSE009";"Gabriela Gonçalves Silveira Fiates"
"1";"CAD7104";"04301";"Formação Profissional Governança";"2.1010-2 / CSE-CSE009";"Irineu Manoel de Souza"
"1";"CAD7105";"01301";"Formação Profissional Sustentabilidade, Responsabilidade Social Corporativa (RSC) e Ética Empres.";"2.1010-2 / CSE-CSE012
4.1010-2 / CSE-CSE012";"Rebeca de Moraes Ribeiro de Barcellos"
"1";"CAD7114";"06301";"Administração da Produção I";"3.0820-2 / CSE-CSE103
5.0820-2 / CSE-CSE103";"Rogerio Tadeu de Oliveira Lacerda"
"1";"CAD7122";"07301";"Administração da Produção II";"3.0820-2 / CSE-CSE213
5.1010-2 / CSE-CSE213";"Ricardo Niehues Buss"
"1";"CAD7131";"05301";"Administração Financeira I";"3.0820-2 / CSE-CSE102
5.0820-2 / CSE-CSE102";"André Luís da Silva Leite"
"1";"CAD7132";"06301";"Administração Financeira II";"3.1010-2 / CSE-CSE103
5.1010-2 / CSE-CSE103";"Marcus Vinicius Andrade de Lima"
"1";"CAD7138";"05301";"Administração de Recursos Humanos I";"2.1010-2 / CSE-CSE102
4.1010-2 / CSE-CSE102";"Helena Kuerten de Salles Uglione"
"1";"CAD7139";"06301";"Administração de Recursos Humanos II";"2.0820-2 / CSE-CSE103
4.0820-2 / CSE-CSE103";"Marcos Baptista Lopez Dalmau"
"1";"CAD7213";"03301";"Organização, Sistemas e Métodos";"3.1010-2 / AUX-ALOCAR
4.0820-2 / AUX-ALOCAR";"Gerson Rizzatti Junior"
"1";"CAD7218";"05301";"Administração de Marketing";"5.1010-2 / CSE-CSE102
6.1010-2 / CSE-CSE102";"Allan Augusto Platt"
"1";"CAD7219";"05301";"Administração de Materiais";"2.0820-2 / CSE-CSE102
4.0820-2 / CSE-CSE102";"Andressa Sasaki Vasques Pacheco"
"1";"CAD7220";"08301";"Logística e Cadeia de Suprimentos";"2.0820-2 / CSE-CSE214
3.0820-2 / CSE-CSE214";"Helen Fischer Günther"
"1";"CAD7222";"06301";"Administração da Tecnologia da Informação e Comunicação";"2.1010-2 / CSE-CSE103
4.1010-2 / CSE-CSE103";"Mario de Souza Almeida"
"1";"CAD7225";"07301";"Pesquisa Mercadológica";"2.1010-2 / CSE-CSE213
5.0820-2 / CSE-CSE213";"Martin de La Martiniere Petroll"
"1";"CAD7226";"09301";"Processo Decisório";"2.1010-2 / CSE-CSE215
4.1010-2 / CSE-CSE215";"Walter Vicente Gomes Filho"
"1";"CAD7228";"08301";"Planejamento Financeiro e Orçamentário";"4.1010-2 / CSE-CSE214
5.1010-2 / CSE-CSE214";"Ani Caroline Grigion Potrich"
"1";"CAD7231";"08301";"Administração de Projetos";"4.0820-2 / CSE-CSE214
6.1010-2 / CSE-CSE214";"Marcos Abílio Bosquetti"
"1";"CAD7232";"08301";"Estratégia Mercadológica";"3.1010-2 / CSE-CSE214
5.0820-2 / CSE-CSE214";"Rudimar Antunes da Rocha"
"1";"CAD7233";"07301";"Desenvolvimento de Recursos Humanos";"4.0820-2 / CSE-CSE213";"Luciano Vignochi"
